yearend,locationabbr,locationdesc,sex,stratification1,grade,question,data_value
2003,AK,Alaska,Female,Female,,Percent of students in grades 9-12 who have obesity,8.1
2003,AK,Alaska,,9th,9th,Percent of students in grades 9-12 who have obesity,12.4
2003,AK,Alaska,,10th,10th,Percent of students in grades 9-12 who have obesity,11.8
2003,AK,Alaska,,11th,11th,Percent of students in grades 9-12 who have obesity,9.2
2003,AK,Alaska,,12th,12th,Percent of students in grades 9-12 who have obesity,9.5
2003,AK,Alaska,Male,Male,,Percent of students in grades 9-12 who have obesity,13.7
2003,AK,Alaska,,Total,,Percent of students in grades 9-12 who have obesity,11.0
2003,AK,Alaska,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,AK,Alaska,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,AK,Alaska,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,AK,Alaska,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,AK,Alaska,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,AK,Alaska,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,13.7
2003,AK,Alaska,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,10.0
2003,AL,Alabama,Female,Female,,Percent of students in grades 9-12 who have obesity,11.0
2003,AL,Alabama,,9th,9th,Percent of students in grades 9-12 who have obesity,14.6
2003,AL,Alabama,,10th,10th,Percent of students in grades 9-12 who have obesity,11.7
2003,AL,Alabama,,11th,11th,Percent of students in grades 9-12 who have obesity,15.4
2003,AL,Alabama,,12th,12th,Percent of students in grades 9-12 who have obesity,10.3
2003,AL,Alabama,Male,Male,,Percent of students in grades 9-12 who have obesity,15.6
2003,AL,Alabama,,Total,,Percent of students in grades 9-12 who have obesity,13.3
2003,AL,Alabama,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,AL,Alabama,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,AL,Alabama,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,18.3
2003,AL,Alabama,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,AL,Alabama,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,AL,Alabama,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,AL,Alabama,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,10.7
2003,AR,Arkansas,Female,Female,,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,9th,9th,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,10th,10th,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,11th,11th,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,12th,12th,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,Male,Male,,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,Total,,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,2 or more races,,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,Asian,,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,Non-Hispanic Black,,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,Hispanic,,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,Hawaiian/Pacific Islander,,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,American Indian/Alaska Native,,Percent of students in grades 9-12 who have obesity,
2003,AR,Arkansas,,Non-Hispanic White,,Percent of students in grades 9-12 who have obesity,
2003,AZ,Arizona,Female,Female,,Percent of students in grades 9-12 who have obesity,6.6
